nb_step	D=1.0	D=0.31622776601683794	D=0.1	D=0.03162277660168379	D=0.01	D=0.0031622776601683794
0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0	8.333333333333334E-4	2.777777777777778E-4	8.333333333333334E-4	0.001388888888888889	2.777777777777778E-4	5.555555555555556E-4
2.0	0.0019444444444444444	0.001388888888888889	0.0019444444444444444	0.0025	5.555555555555556E-4	0.0011111111111111111
3.0	0.0030555555555555557	0.001388888888888889	0.0022222222222222222	0.0038888888888888888	0.0011111111111111111	0.0019444444444444444
4.0	0.003611111111111111	0.0016666666666666668	0.002777777777777778	0.0044444444444444444	0.0019444444444444444	0.0030555555555555557
5.0	0.0038888888888888888	0.0019444444444444444	0.0033333333333333335	0.005	0.0025	0.0030555555555555557
6.0	0.004166666666666667	0.0033333333333333335	0.0044444444444444444	0.005277777777777778	0.002777777777777778	0.0033333333333333335
7.0	0.0044444444444444444	0.004166666666666667	0.004722222222222222	0.005555555555555556	0.0030555555555555557	0.003611111111111111
8.0	0.0044444444444444444	0.005555555555555556	0.005	0.005833333333333334	0.0033333333333333335	0.0038888888888888888
9.0	0.005277777777777778	0.006388888888888889	0.005277777777777778	0.006111111111111111	0.003611111111111111	0.0038888888888888888
10.0	0.005833333333333334	0.0075	0.005555555555555556	0.006388888888888889	0.0044444444444444444	0.0038888888888888888
11.0	0.006111111111111111	0.0077777777777777776	0.006666666666666667	0.006666666666666667	0.004722222222222222	0.0038888888888888888
12.0	0.006111111111111111	0.008055555555555555	0.006944444444444444	0.007222222222222222	0.005	0.0038888888888888888
13.0	0.0075	0.008055555555555555	0.0075	0.0075	0.005555555555555556	0.0038888888888888888
14.0	0.008611111111111111	0.008055555555555555	0.0077777777777777776	0.0077777777777777776	0.006111111111111111	0.004166666666666667
15.0	0.009166666666666667	0.008333333333333333	0.008055555555555555	0.008055555555555555	0.006111111111111111	0.0044444444444444444
16.0	0.009722222222222222	0.008611111111111111	0.008888888888888889	0.008333333333333333	0.006111111111111111	0.0044444444444444444
17.0	0.010277777777777778	0.01	0.008888888888888889	0.008333333333333333	0.006388888888888889	0.0044444444444444444
18.0	0.010555555555555556	0.010277777777777778	0.009166666666666667	0.008333333333333333	0.006944444444444444	0.004722222222222222
19.0	0.011111111111111112	0.011944444444444445	0.009166666666666667	0.008333333333333333	0.006944444444444444	0.004722222222222222
20.0	0.011944444444444445	0.013055555555555556	0.009166666666666667	0.008888888888888889	0.007222222222222222	0.005277777777777778
21.0	0.0125	0.013333333333333334	0.009444444444444445	0.009444444444444445	0.007222222222222222	0.005555555555555556
22.0	0.013055555555555556	0.013888888888888888	0.01	0.009722222222222222	0.007222222222222222	0.005555555555555556
