ro	ratio C/C_max
0.020000000000000004	0.41194648148148666
0.04000000000000001	0.40713083333333044
0.06	0.42503027777777924
0.08000000000000002	0.4307663888888823
0.1	0.4392625925926022
0.12	0.4424362037037129
0.13999999999999999	0.44060731481481946
0.16000000000000003	0.45611055555555763
0.18000000000000002	0.45010731481481386
0.2	0.46549972222223585
0.22000000000000003	0.46447462962962766
0.24	0.4702849074073961
0.26	0.47705175925923804
0.27999999999999997	0.4830047222222141
0.30000000000000004	0.4913697222222172
0.32000000000000006	0.49028722222222637
0.34	0.482965185185178
0.36000000000000004	0.4771914814814799
0.38	0.4716039814814751
0.4	0.45622944444443386
